id,title,description,object_key,video_url,source_label,video_group,video_code,method_name,sample_name,prompt_text,is_active
r2-1013-sc4d-fp-front-right60,R2 Sample / 1013 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1013, method sc4d_fp_front-right60.",16frame/1013_1013_fa9f51beb7634443be3fce568b66af73_9_offset0_0000-0095_longseq_f0080-0095_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1013-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1013,,1
r2-1047-sc4d-fp-front-right60,R2 Sample / 1047 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1047, method sc4d_fp_front-right60.",16frame/1047_1047_4498e1283721499a99fca7354c5fb9eb_offset0_0000-0191_longseq_f0176-0191_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1047-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1047,,1
r2-1143-sc4d-fp-front-right60,R2 Sample / 1143 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1143, method sc4d_fp_front-right60.",16frame/1143_1143_c924da45e35d437fa1e44bc110f5cb3a_27_offset0_0000-0191_longseq_f0045-0060_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1143-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1143,,1
r2-1189-sc4d-fp-front-right60,R2 Sample / 1189 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1189, method sc4d_fp_front-right60.",16frame/1189_1189_df8aa1da415f4c0b94746afcc377a092_8_offset0_0000-0079_longseq_f0015-0030_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1189-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1189,,1
r2-1230-sc4d-fp-front-right60,R2 Sample / 1230 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1230, method sc4d_fp_front-right60.",16frame/1230_1230_766f591ef98745908fe1119b7341de55_38_offset8_0008-0055_longseq_f0000-0015_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1230-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1230,,1
r2-1232-sc4d-fp-front-right60,R2 Sample / 1232 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1232, method sc4d_fp_front-right60.",16frame/1232_1232_947c3f24e27b47d69a01041a43e1de38_offset0_0032-0079_longseq_f0030-0045_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1232-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1232,,1
r2-1445-sc4d-fp-front-right60,R2 Sample / 1445 / sc4d_fp_front-right60,"R2 uploaded sample for shape 1445, method sc4d_fp_front-right60.",16frame/1445_1445_bc5add3ca2bb4fb1b3c549d177915603_3_offset8_0008-0087_longseq_f0060-0075_np16/sc4d_fp_front-right60.mp4,,データベースランダム「Database Random」,R2-16FRAME,R2-1445-sc4d-fp-front-right60,sc4d_fp_front-right60,Shape 1445,,1
